express partner,flight num,dep stn,arrv stn,cancel description,a/c type,nose,pbt,sch dep time (local),time cancel (local),hh:mm cnxl (before)/after sch dep time,ex sec
C5-Commutair,4287,MEM,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0197,40,2025-11-12 17:00:00,2025-11-09 12:46:15.820,(4 04:),  
C5-Commutair,4288,IAD,CAE,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0151,45,2025-11-07 12:35:00,2025-11-06 14:43:00.000,(21:52),  
C5-Commutair,4289,JAN,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,30,2025-11-08 13:57:00,2025-11-06 14:34:24.313,(2 23:),  
C5-Commutair,4289,JAN,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,27,2025-11-11 13:57:00,2025-11-07 15:20:27.509,(4 22:),  
C5-Commutair,4290,MFE,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0161,44,2025-11-10 17:00:00,2025-11-07 14:41:00.000,(4 02:),  
C5-Commutair,4290,MFE,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,26,2025-11-11 17:00:00,2025-11-07 15:14:52.816,(5 01:),  
C5-Commutair,4291,BUF,IAD,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,39,2025-11-08 14:55:00,2025-11-06 15:31:14.840,(2 23:),  
C5-Commutair,4294,ECP,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,45,2025-11-09 10:04:00,2025-11-06 17:03:50.261,(3 17:),  
C5-Commutair,4298,IAH,MFE,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0199,42,2025-11-12 10:01:00,2025-11-09 12:40:20.553,(3 21:),  
C5-Commutair,4300,IAH,SGF,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0156,40,2025-11-07 12:10:00,2025-11-06 13:46:00.000,(22:24),  
C5-Commutair,4301,MFE,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0168,35,2025-11-07 09:50:00,2025-11-06 13:45:54.643,(20:04),  
C5-Commutair,4303,PNS,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,39,2025-11-09 16:55:00,2025-11-06 17:02:12.966,(3 23:),  
C5-Commutair,4307,IAH,MOB,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,27,2025-11-08 14:35:00,2025-11-06 14:36:36.338,(2 23:),  
C5-Commutair,4307,IAH,MOB,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,31,2025-11-10 14:35:00,2025-11-07 14:28:16.895,(4 00:),  
C5-Commutair,4307,IAH,MOB,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,47,2025-11-11 14:35:00,2025-11-07 15:09:03.559,(4 23:),  
C5-Commutair,4309,IAH,ECP,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,6,2025-11-09 07:30:00,2025-11-06 17:03:50.991,(3 14:),  
C5-Commutair,4314,MFE,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0199,29,2025-11-12 12:15:00,2025-11-09 12:40:21.993,(3 23:),  
C5-Commutair,4322,LCH,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0198,23,2025-11-12 18:04:00,2025-11-09 12:46:19.052,(4 05:),  
C5-Commutair,4326,PVD,IAD,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,47,2025-11-08 19:28:00,2025-11-06 15:31:12.451,(3 03:),  
C5-Commutair,4326,PVD,IAD,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,34,2025-11-10 19:28:00,2025-11-07 16:03:00.000,(4 03:),  
C5-Commutair,4328,CHO,IAD,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,42,2025-11-11 14:40:00,2025-11-07 16:26:52.709,(4 22:),  
C5-Commutair,4331,IAH,TUL,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0186,33,2025-11-12 16:30:00,2025-11-09 12:42:25.920,(4 03:),  
C5-Commutair,4332,ROA,IAD,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0199,41,2025-11-07 10:26:00,2025-11-06 14:43:50.629,(19:42),  
C5-Commutair,4332,ROA,IAD,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,33,2025-11-10 10:26:00,2025-11-07 16:01:00.000,(3 18:),  
C5-Commutair,4333,IAD,CHO,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0203,10,2025-11-12 09:00:00,2025-11-09 13:50:42.260,(3 19:),  
C5-Commutair,4335,IAD,BUF,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,45,2025-11-08 12:48:00,2025-11-06 15:31:13.796,(2 21:),  
C5-Commutair,4339,IAD,ROA,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,38,2025-11-11 17:30:00,2025-11-07 16:30:44.326,(5 00:),  
C5-Commutair,4344,IAH,HRL,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0175,36,2025-11-07 14:40:00,2025-11-06 13:45:00.000,(2 00:),  
C5-Commutair,4344,IAH,HRL,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,34,2025-11-11 14:40:00,2025-11-07 15:25:12.206,(4 23:),  
C5-Commutair,4353,IAH,TUL,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,28,2025-11-09 09:35:00,2025-11-06 17:01:26.519,(3 16:),  
C5-Commutair,4354,IAH,LBB,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0163,18,2025-11-12 12:20:00,2025-11-09 12:41:19.066,(3 23:),  
C5-Commutair,4361,CRP,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,42,2025-11-10 14:15:00,2025-11-07 14:54:00.000,(3 23:),  
C5-Commutair,4361,CRP,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,35,2025-11-11 14:15:00,2025-11-07 15:16:31.793,(4 22:),  
C5-Commutair,4363,LRD,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,25,2025-11-10 12:05:00,2025-11-07 14:31:00.000,(3 21:),  
