express partner,flight num,dep stn,arrv stn,date,nose,sch dep time (local),sch arrv time (local),act dep time (local),act arrv time (local)
YX-Republic,3304,CLT,DTW,2025-11-08,0784,2025-11-08 14:00:00,2025-11-08 15:30:00,2025-11-08 19:56:00,2025-11-08 21:34:00
YX-Republic,3304,MSP,DTW,2025-11-09,0781,2025-11-09 11:15:00,2025-11-09 14:10:00,2025-11-09 18:24:00,2025-11-09 20:09:00
YX-Republic,3305,MEM,SDF,2025-11-09,0729,2025-11-09 17:00:00,2025-11-09 19:30:00,2025-11-10 05:10:00,2025-11-10 06:43:00
YX-Republic,3305,STL,DTW,2025-11-11,0722,2025-11-11 11:05:00,2025-11-11 13:35:00,2025-11-11 18:17:00,2025-11-11 19:47:00
YX-Republic,3305,ROC,PWM,2025-11-10,0771,2025-11-10 17:00:00,2025-11-10 18:30:00,2025-11-10 20:58:00,2025-11-10 22:46:00
YX-Republic,3306,RIC,SDF,2025-11-08,0769,2025-11-08 17:00:00,2025-11-08 18:45:00,2025-11-08 20:14:00,2025-11-08 21:57:00
YX-Republic,3306,IND,PIT,2025-11-09,0787,2025-11-09 15:30:00,2025-11-09 16:45:00,2025-11-09 21:52:00,2025-11-09 23:36:00
YX-Republic,3306,DSM,MDT,2025-11-10,0728,2025-11-10 13:30:00,2025-11-10 16:30:00,2025-11-10 19:51:00,2025-11-10 22:09:00
YX-Republic,3307,ROC,GRR,2025-11-08,0785,2025-11-08 15:00:00,2025-11-08 16:25:00,2025-11-08 20:15:00,2025-11-08 21:44:00
YX-Republic,3307,ROC,IND,2025-11-10,0729,2025-11-10 16:00:00,2025-11-10 17:30:00,2025-11-10 21:17:00,2025-11-10 23:26:00
YX-Republic,3308,YUL,YOW,2025-11-08,0786,2025-11-08 15:00:00,2025-11-08 15:55:00,2025-11-08 21:22:00,2025-11-08 22:15:00
YX-Republic,3308,PIT,GSP,2025-11-10,0741,2025-11-10 18:30:00,2025-11-10 20:00:00,2025-11-11 00:38:00,2025-11-11 01:52:00
YX-Republic,3309,GRR,PIT,2025-11-08,0767,2025-11-08 15:00:00,2025-11-08 16:30:00,2025-11-08 20:42:00,2025-11-08 21:52:00
YX-Republic,3309,CMH,RIC,2025-11-09,0728,2025-11-09 15:00:00,2025-11-09 16:20:00,2025-11-09 20:13:00,2025-11-09 21:31:00
YX-Republic,3309,RIC,GRB,2025-11-10,0749,2025-11-10 18:00:00,2025-11-10 19:00:00,2025-11-11 00:07:00,2025-11-11 02:13:00
YX-Republic,3310,SDF,ROC,2025-11-09,0771,2025-11-09 14:30:00,2025-11-09 16:00:00,2025-11-09 22:00:00,2025-11-09 23:48:00
YX-Republic,3310,MKE,SDF,2025-11-10,0765,2025-11-10 16:15:00,2025-11-10 18:45:00,2025-11-10 22:14:00,2025-11-10 23:33:00
YX-Republic,3311,PIT,MCI,2025-11-09,0758,2025-11-09 14:00:00,2025-11-09 15:15:00,2025-11-09 19:25:00,2025-11-09 21:35:00
