company_id,date,cnxl_cd,cancel division,ex_company_id,count
C5,2025-11-14,C,WEATHER/ATC,,14
YV,2025-11-14,C,WEATHER/ATC,,12
YX,2025-11-14,C,WEATHER/ATC,,18
OO,2025-11-14,C,WEATHER/ATC,,50
G7,2025-11-14,C,WEATHER/ATC,,20
