express partner,flight num,dep stn,arrv stn,date,nose,sch dep time (local),est dep time (local),sch arrv time (local),est arrv time (local)
OO-Skywest,5218,LAX ,SBP ,2025-11-02,0110,2025-11-02 20:30:00,2025-11-03 13:45:00,2025-11-02 21:34:00,2025-11-03 14:46:00
OO-Skywest,5446,SFO ,SBP ,2025-11-02,0625,2025-11-02 20:55:00,2025-11-03 13:45:00,2025-11-02 22:05:00,2025-11-03 14:55:00
OO-Skywest,5589,PSP ,SFO ,2025-11-02,0796,2025-11-02 18:23:00,2025-11-03 14:45:00,2025-11-02 20:08:00,2025-11-03 16:11:00
OO-Skywest,5608,SFO ,FAT ,2025-11-02,0477,2025-11-02 20:45:00,2025-11-03 15:00:00,2025-11-02 21:53:00,2025-11-03 16:08:00
OO-Skywest,5608,SFO ,FAT ,2025-11-02,0477,2025-11-02 20:45:00,2025-11-03 15:00:00,2025-11-02 21:53:00,2025-11-03 16:08:00
OO-Skywest,5608,SFO ,FAT ,2025-11-02,0477,2025-11-02 20:45:00,2025-11-03 15:00:00,2025-11-02 21:53:00,2025-11-03 16:08:00
OO-Skywest,6947,DAL ,DEN ,2025-11-02,0856,2025-11-02 19:00:00,2025-11-03 03:30:00,2025-11-02 20:00:00,2025-11-03 05:30:00
