timeperiod,short_dlys,long_dlys,total_dprt_dlys,fo_dlys,if_dlys,fx_dlys,fr_fy_dlys,fd_n_q_s_dlys,ix_r_s_dlys,il_im_dlys,ib_d_e_g_p_z_dlys,sked,short_dly_rate,long_dly_rate,total_dprt_dly_rate,fo_dly_rate,if_dly_rate
Yest,248,358,606,57,22,20,3,24,9,8,5,2054,12.074001947419667,17.429406037000973,29.50340798442064,2.775073028237585,1.07108081791626
MTD,451,610,1061,122,42,32,29,43,17,15,10,3906,11.546338965693804,15.61699948796723,27.163338453661034,3.123399897593445,1.075268817204301
L7D,1422,2159,3581,346,163,112,63,123,59,54,50,13902,10.22874406560207,15.530139548266437,25.75888361386851,2.488850525104301,1.17249316645087
2019,520,1005,1525,317,100,74,54,77,41,11,48,5351,9.717809755185947,18.781536161465144,28.499345916651095,5.924126331526817,1.868809568304989
