time_stamp,city,station,carrier,ml_ex_ind,sched_flt_now,cnxl_flt_now,a0_flt_now,a14_flt_now,d0_flt_now_o,d0_flt_now,sched_flt_mtd,cnxl_flt_mtd,a0_flt_mtd,a14_flt_mtd,d0_flt_mtd_o,d0_flt_mtd,sched_flt_ytd,comp_flt_ytd,a0_flt_ytd,a14_flt_ytd,d0_flt_ytd_o,d0_flt_ytd,in_sched_flt_now,in_sched_flt_mtd,in_sched_flt_ytd
2025-11-04 06:48:19.638475+00:00,Line Dom,RDD,UA,Express,0,0,0,0,0,0,10,0,5,8,8,8,1198,1192,791,992,941,941,0,10,1198
2025-11-04 06:48:19.638475+00:00,Line Dom,LAF,UA,Express,0,0,0,0,0,0,3,0,1,1,2,2,141,141,73,95,104,104,0,3,142
2025-11-04 06:48:19.638475+00:00,Line Dom,DLH,UA,Express,0,0,0,0,0,0,6,0,6,6,5,5,953,941,519,657,632,632,0,6,953
2025-11-04 06:48:19.638475+00:00,Line Int,NAS,UA,Express,0,0,0,0,0,0,1,0,1,1,1,1,21,21,11,16,18,18,0,1,21
2025-11-04 06:48:19.638475+00:00,Line Dom,BUF,UA,Express,0,0,0,0,0,0,18,1,12,13,11,11,2126,2067,1288,1586,1411,1411,0,18,2128
2025-11-04 06:48:19.638475+00:00,Line Dom,MLI,UA,Express,0,0,0,0,0,0,12,0,6,11,11,11,1594,1577,927,1150,1116,1116,0,12,1594
2025-11-04 06:48:19.638475+00:00,Line Dom,CAK,UA,Express,0,0,0,0,0,0,8,0,4,7,6,6,1112,1097,630,806,822,822,0,8,1113
2025-11-04 06:48:19.638475+00:00,Line Dom,CYS,UA,Express,0,0,0,0,0,0,4,0,4,4,4,4,618,610,348,429,458,458,0,4,618
2025-11-04 06:48:19.638475+00:00,Line Dom,DSM,UA,Express,0,0,0,0,0,0,9,0,8,8,6,6,1611,1589,1148,1343,1314,1314,0,9,1610
2025-11-04 06:48:19.638475+00:00,Line Dom,BFL,UA,Express,0,0,0,0,0,0,8,0,6,8,8,8,1199,1199,660,916,967,969,0,8,1199
2025-11-04 06:48:19.638475+00:00,Line Dom,BGR,UA,Express,0,0,0,0,0,0,3,0,2,2,1,1,875,850,522,642,637,637,0,3,872
2025-11-04 06:48:19.638475+00:00,Line Dom,CHS,UA,Express,0,0,0,0,0,0,6,0,0,2,2,2,1754,1689,1140,1375,1276,1276,0,6,1752
2025-11-04 06:48:19.638475+00:00,Line Dom,OMA,UA,Express,0,0,0,0,0,0,8,0,7,7,5,5,1023,1012,675,825,793,794,0,9,1024
2025-11-04 06:48:19.638475+00:00,Line Int,PXM,UA,Express,0,0,0,0,0,0,1,0,0,1,0,0,33,33,18,27,15,15,0,1,33
2025-11-04 06:48:19.638475+00:00,Line Dom,ONT,UA,Express,0,0,0,0,0,0,0,0,0,0,0,0,317,310,220,266,244,244,0,0,316
2025-11-04 06:48:19.638475+00:00,Line Dom,GSP,UA,Express,0,0,0,0,0,0,16,1,7,13,12,12,2839,2787,1699,2103,2101,2101,0,16,2846
2025-11-04 06:48:19.638475+00:00,Line Dom,ITH,UA,Express,0,0,0,0,0,0,4,0,4,4,4,4,631,613,343,424,478,478,0,4,631
2025-11-04 06:48:19.638475+00:00,Line Dom,EAR,UA,Express,0,0,0,0,0,0,4,0,4,4,3,3,525,520,334,400,401,401,0,4,525
2025-11-04 06:48:19.638475+00:00,Line Dom,FAT,UA,Express,0,0,0,0,0,0,19,0,12,15,17,17,2643,2639,1837,2240,2075,2076,0,19,2644
2025-11-04 06:48:19.638475+00:00,Line Dom,SUN,UA,Express,0,0,0,0,0,0,2,0,1,2,2,2,1177,1167,804,965,906,906,0,2,1176
2025-11-04 06:48:19.638475+00:00,Line Dom,ATW,UA,Express,0,0,0,0,0,0,14,0,8,10,9,9,1992,1965,1133,1425,1404,1404,0,14,1992
2025-11-04 06:48:19.638475+00:00,Line Dom,ILM,UA,Express,0,0,0,0,0,0,3,1,1,2,2,2,649,610,336,431,425,425,0,3,648
2025-11-04 06:48:19.638475+00:00,Line Dom,LWS,UA,Express,0,0,0,0,0,0,0,0,0,0,0,0,32,32,16,21,28,28,0,0,31
2025-11-04 06:48:19.638475+00:00,Line Dom,ABE,UA,Express,0,0,0,0,0,0,6,0,4,5,5,5,688,683,450,525,489,489,0,6,688
2025-11-04 06:48:19.638475+00:00,Line Dom,SBP,UA,Express,0,0,0,0,0,0,12,0,5,6,3,3,1851,1843,1218,1489,1349,1350,0,12,1852
2025-11-04 06:48:19.638475+00:00,Line Dom,CIU,UA,Express,0,0,0,0,0,0,0,0,0,0,0,0,137,135,80,97,84,84,0,0,137
2025-11-04 06:48:19.638475+00:00,Line Dom,MCI,UA,Express,0,0,0,0,0,0,21,1,11,15,16,16,2727,2665,1686,2165,2140,2140,0,21,2724
2025-11-04 06:48:19.638475+00:00,Line Dom,DAY,UA,Express,0,0,0,0,0,0,13,0,9,10,10,10,2379,2344,1500,1806,1788,1788,0,13,2377
2025-11-04 06:48:19.638475+00:00,Line Dom,PIA,UA,Express,0,0,0,0,0,0,12,0,5,6,7,7,1483,1468,757,1028,940,940,0,12,1484
