time_stamp,city,station,carrier,ml_ex_ind,sched_flt_now,cnxl_flt_now,a0_flt_now,a14_flt_now,d0_flt_now_o,d0_flt_now,sched_flt_dateminus2,cnxl_flt_dateminus2,a0_flt_dateminus2,a14_flt_dateminus2,d0_flt_dateminus2_o,d0_flt_dateminus2,sched_flt_mtd,cnxl_flt_mtd,a0_flt_mtd,a14_flt_mtd,d0_flt_mtd_o,d0_flt_mtd,in_sched_flt_now,in_sched_flt_mtd
2025-11-04 06:48:19.638475+00:00,Washington DC,BWI,UA,Express,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-04 06:48:19.638475+00:00,Texas,IAH,UA,Express,0,0,0,0,0,0,216,0,164,192,119,138,406,0,274,331,243,280,0,405
2025-11-04 06:48:19.638475+00:00,San Francisco,SFO,UA,Express,0,0,0,0,0,0,63,0,30,37,26,31,124,0,69,86,66,75,0,124
2025-11-04 06:48:19.638475+00:00,Chicago,ORD,UA,Express,0,0,0,0,0,0,278,0,165,208,158,181,543,0,346,430,346,390,0,543
2025-11-04 06:48:19.638475+00:00,Los Angeles,LAX,UA,Express,0,0,0,0,0,0,32,0,16,17,21,21,62,0,34,43,44,44,0,62
2025-11-04 06:48:19.638475+00:00,Denver,DEN,UA,Express,0,0,0,0,0,0,206,0,161,185,167,178,387,0,307,357,317,330,0,387
2025-11-04 06:48:19.638475+00:00,New York,LGA,UA,Express,0,0,0,0,0,0,4,0,2,3,2,2,8,0,5,6,5,5,0,8
2025-11-04 06:48:19.638475+00:00,Washington DC,IAD,UA,Express,0,0,0,0,0,0,128,0,99,112,94,102,248,0,192,216,172,191,0,248
2025-11-04 06:48:19.638475+00:00,Washington DC,DCA,UA,Express,0,0,0,0,0,0,13,4,4,7,6,6,21,4,7,12,9,9,0,21
2025-11-04 06:48:19.638475+00:00,New York,EWR,UA,Express,0,0,0,0,0,0,106,36,32,41,43,44,185,36,89,104,101,104,0,184
2025-11-04 06:48:19.638475+00:00,LINE,LINE,UA,Express,0,0,0,0,0,0,1025,0,667,792,746,746,1951,38,1311,1567,1482,1482,0,1953
