CITY,CARRIER,ML_EX_IND,Yest_Scheduled_Flights,Yest_D00_Flights,Yest_Completed_Flights
OTHER,AA,Mainline,1414.0,1019.0,1412.0
Line Int,AA,Mainline,57.0,44.0,55.0
OTHER,AS,Mainline,1173.0,676.0,1144.0
Line Dom,DL,Mainline,838.0,672.0,838.0
Line Dom,AA,Mainline,1365.0,965.0,1365.0
OTHER,DL,Mainline,826.0,654.0,826.0
Line Int,DL,Mainline,35.0,28.0,35.0
