CITY,CARRIER,report_yr,report_month,ML_EX_IND,Scheduled_Flights,D00_Flights,Completed_Flights,A00_Flights,Yest_Scheduled_Flights,Yest_D00_Flights,Yest_Completed_Flights,Yest_A00_Flights,DateMinus2_Scheduled_Flights,DateMinus2_D00_Flights,DateMinus2_Completed_Flights,DateMinus2_A00_Flights
Washington DC,DL,2025,10,Express,1251.0,869.0,1227.0,804.0,42.0,10.0,29.0,10.0,42.0,24.0,42.0,20.0
Los Angeles,DL,2025,10,Express,1008.0,786.0,1008.0,770.0,29.0,26.0,29.0,26.0,29.0,27.0,29.0,25.0
San Francisco,AS,2025,10,Express,1026.0,612.0,1012.0,574.0,65.0,23.0,64.0,19.0,61.0,42.0,60.0,41.0
Texas,AS,2025,10,Express,13.0,6.0,13.0,10.0,7.0,2.0,7.0,5.0,6.0,4.0,6.0,5.0
Los Angeles,AA,2025,10,Express,1112.0,848.0,1112.0,810.0,38.0,36.0,38.0,33.0,38.0,32.0,38.0,30.0
OTHER,DL,2025,10,Express,43489.0,34402.0,43221.0,32949.0,1384.0,956.0,1227.0,876.0,1368.0,1125.0,1368.0,1071.0
San Francisco,AA,2025,10,Express,179.0,124.0,179.0,106.0,6.0,4.0,6.0,5.0,7.0,6.0,7.0,6.0
Texas,DL,2025,10,Express,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denver,AA,2025,10,Express,88.0,69.0,88.0,66.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0
New York,AA,2025,10,Express,3936.0,2776.0,3837.0,1912.0,139.0,35.0,67.0,8.0,140.0,95.0,140.0,26.0
Denver,AS,2025,10,Express,49.0,28.0,48.0,15.0,9.0,9.0,9.0,8.0,8.0,3.0,7.0,3.0
Denver,DL,2025,10,Express,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Texas,AA,2025,10,Express,10149.0,7225.0,10030.0,6830.0,353.0,270.0,353.0,263.0,328.0,246.0,328.0,218.0
OTHER,AS,2025,10,Express,14612.0,9952.0,14390.0,9208.0,1101.0,731.0,1084.0,650.0,1005.0,571.0,978.0,584.0
Chicago,DL,2025,10,Express,149.0,108.0,148.0,107.0,4.0,1.0,3.0,0.0,4.0,4.0,4.0,3.0
OTHER,AA,2025,10,Express,60603.0,44295.0,60313.0,40591.0,2076.0,1280.0,1968.0,1063.0,1903.0,1392.0,1899.0,1201.0
Washington DC,AS,2025,10,Express,21.0,6.0,21.0,8.0,11.0,2.0,11.0,4.0,10.0,4.0,10.0,4.0
San Francisco,DL,2025,10,Express,79.0,54.0,79.0,34.0,3.0,1.0,3.0,0.0,2.0,2.0,2.0,1.0
New York,DL,2025,10,Express,7238.0,5058.0,7023.0,4283.0,254.0,70.0,118.0,21.0,254.0,172.0,254.0,77.0
Chicago,AA,2025,10,Express,7930.0,4643.0,7920.0,4281.0,276.0,179.0,274.0,161.0,230.0,146.0,230.0,134.0
Washington DC,AA,2025,10,Express,5320.0,3509.0,5299.0,3189.0,187.0,40.0,172.0,52.0,187.0,110.0,187.0,74.0
Los Angeles,AS,2025,10,Express,950.0,632.0,931.0,633.0,68.0,47.0,68.0,44.0,55.0,34.0,55.0,34.0
New York,AS,2025,10,Express,42.0,23.0,40.0,22.0,21.0,8.0,19.0,5.0,21.0,15.0,21.0,17.0
Chicago,AS,2025,10,Express,17.0,9.0,17.0,3.0,10.0,6.0,10.0,3.0,7.0,3.0,7.0,0.0
,AA,2025,10,Express,39517.0,27770.0,39345.0,26194.0,1358.0,824.0,1325.0,771.0,1238.0,893.0,1236.0,791.0
,AS,2025,10,Express,7267.0,4807.0,7176.0,4527.0,601.0,366.0,595.0,335.0,544.0,321.0,537.0,332.0
,DL,2025,10,Express,23701.0,18331.0,23483.0,17016.0,765.0,474.0,627.0,403.0,756.0,606.0,756.0,500.0
LINE,AA,2025,10,Express,49800.0,35719.0,49433.0,31591.0,1720.0,1022.0,1556.0,817.0,1598.0,1136.0,1596.0,901.0
LINE,AS,2025,10,Express,9463.0,6461.0,9296.0,5946.0,691.0,462.0,677.0,403.0,629.0,355.0,607.0,356.0
LINE,DL,2025,10,Express,29513.0,22946.0,29223.0,21931.0,951.0,590.0,782.0,530.0,943.0,748.0,943.0,697.0
