CITY,CARRIER,ML_EX_IND,Yest_Scheduled_Flights,Yest_D00_Flights,Yest_Completed_Flights
OTHER,AA,Mainline,1495.0,1184.0,1494.0
Line Int,AA,Mainline,66.0,59.0,66.0
OTHER,AS,Mainline,1284.0,944.0,1282.0
Line Dom,DL,Mainline,845.0,687.0,845.0
Line Dom,AA,Mainline,1433.0,1139.0,1432.0
OTHER,DL,Mainline,835.0,647.0,835.0
Line Int,DL,Mainline,35.0,27.0,35.0
