timeperiod,short_dlys,long_dlys,total_dprt_dlys,fo_dlys,if_dlys,fx_dlys,fr_fy_dlys,fd_n_q_s_dlys,ix_r_s_dlys,il_im_dlys,ib_d_e_g_p_z_dlys,sked,short_dly_rate,long_dly_rate,total_dprt_dly_rate,fo_dly_rate,if_dly_rate
Yest,,,,,,,,,,,,,,,,,
MTD,5965.0,8002.0,13967.0,1162.0,512.0,422.0,157.0,398.0,192.0,132.0,188.0,57304.0,10.40939550467681,13.964121178277258,24.37351668295407,2.027781655730839,0.893480385313416
L7D,1228.0,1793.0,3021.0,274.0,117.0,101.0,40.0,92.0,45.0,32.0,40.0,11778.0,10.42621837323824,15.2232976736288,25.64951604686704,2.326371200543385,0.993377483443708
2019,7541.0,14901.0,22442.0,3234.0,1087.0,987.0,303.0,890.0,353.0,83.0,651.0,83592.0,9.021198200784765,17.825868504163076,26.847066704947842,3.868791271892047,1.300363671164704
