time_stamp,city,station,carrier,ml_ex_ind,sched_flt_now,cnxl_flt_now,a0_flt_now,a14_flt_now,d0_flt_now_o,d0_flt_now,sched_flt_dateminus2,cnxl_flt_dateminus2,a0_flt_dateminus2,a14_flt_dateminus2,d0_flt_dateminus2_o,d0_flt_dateminus2,sched_flt_mtd,cnxl_flt_mtd,a0_flt_mtd,a14_flt_mtd,d0_flt_mtd_o,d0_flt_mtd,in_sched_flt_now,in_sched_flt_mtd
2025-11-03 11:53:49.313638+00:00,Washington DC,IAD,UA,Express,128,0,99,112,94,102,120,0,93,104,78,89,248,0,192,216,172,191,127,248
2025-11-03 11:53:49.313638+00:00,New York,EWR,UA,Express,106,36,32,41,43,44,79,0,57,63,58,60,185,36,89,104,101,104,106,184
2025-11-03 11:53:49.313638+00:00,Washington DC,DCA,UA,Express,13,4,4,7,6,6,8,0,3,5,3,3,21,4,7,12,9,9,13,21
2025-11-03 11:53:49.313638+00:00,New York,LGA,UA,Express,4,0,2,3,2,2,4,0,3,3,3,3,8,0,5,6,5,5,4,8
2025-11-03 11:53:49.313638+00:00,Washington DC,BWI,UA,Express,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-03 11:53:49.313638+00:00,San Francisco,SFO,UA,Express,63,0,30,37,26,31,61,0,39,49,40,44,124,0,69,86,66,75,63,124
2025-11-03 11:53:49.313638+00:00,Denver,DEN,UA,Express,206,0,161,185,167,178,181,0,146,172,150,152,387,0,307,357,317,330,205,387
2025-11-03 11:53:49.313638+00:00,Chicago,ORD,UA,Express,278,0,165,208,158,181,265,0,181,222,188,209,543,0,346,430,346,390,278,543
2025-11-03 11:53:49.313638+00:00,Texas,IAH,UA,Express,216,0,164,192,119,138,190,0,110,139,124,142,406,0,274,331,243,280,214,405
2025-11-03 11:53:49.313638+00:00,Los Angeles,LAX,UA,Express,32,0,16,17,21,21,30,0,18,26,23,23,62,0,34,43,44,44,32,62
2025-11-03 11:53:49.313638+00:00,LINE,LINE,UA,Express,1025,38,667,792,746,746,926,38,644,775,736,736,1951,38,1311,1567,1482,1482,1025,1953
