CITY,CARRIER,report_yr,report_month,ML_EX_IND,Scheduled_Flights,D00_Flights,Completed_Flights,A00_Flights,Yest_Scheduled_Flights,Yest_D00_Flights,Yest_Completed_Flights,Yest_A00_Flights,DateMinus2_Scheduled_Flights,DateMinus2_D00_Flights,DateMinus2_Completed_Flights,DateMinus2_A00_Flights
Washington DC,AA,2025,11,Express,512.0,345.0,512.0,327.0,195.0,132.0,195.0,125.0,183.0,123.0,183.0,117.0
Chicago,DL,2025,11,Express,12.0,7.0,12.0,9.0,4.0,3.0,4.0,4.0,4.0,1.0,4.0,1.0
New York,AA,2025,11,Express,349.0,255.0,348.0,195.0,134.0,97.0,134.0,65.0,125.0,103.0,124.0,89.0
OTHER,AA,2025,11,Express,5835.0,4539.0,5830.0,4264.0,2029.0,1643.0,2028.0,1549.0,2094.0,1635.0,2090.0,1569.0
New York,DL,2025,11,Express,659.0,487.0,658.0,431.0,254.0,183.0,254.0,138.0,249.0,191.0,248.0,185.0
Denver,AS,2025,11,Express,25.0,21.0,25.0,16.0,9.0,8.0,9.0,6.0,9.0,7.0,9.0,5.0
New York,AS,2025,11,Express,61.0,34.0,60.0,22.0,21.0,11.0,21.0,4.0,21.0,11.0,20.0,7.0
Chicago,AA,2025,11,Express,835.0,591.0,833.0,575.0,304.0,237.0,303.0,233.0,299.0,191.0,298.0,177.0
Denver,AA,2025,11,Express,11.0,9.0,11.0,7.0,4.0,4.0,4.0,3.0,5.0,3.0,5.0,2.0
OTHER,DL,2025,11,Express,3864.0,3105.0,3862.0,2950.0,1383.0,1111.0,1383.0,1023.0,1389.0,1116.0,1388.0,1065.0
Los Angeles,AA,2025,11,Express,102.0,81.0,102.0,54.0,34.0,29.0,34.0,24.0,35.0,21.0,35.0,16.0
Los Angeles,DL,2025,11,Express,81.0,75.0,81.0,70.0,29.0,28.0,29.0,26.0,29.0,24.0,29.0,22.0
San Francisco,AS,2025,11,Express,182.0,124.0,178.0,102.0,65.0,43.0,65.0,39.0,64.0,32.0,60.0,29.0
OTHER,AS,2025,11,Express,3146.0,2130.0,3135.0,2028.0,1093.0,813.0,1091.0,722.0,1089.0,652.0,1081.0,637.0
Chicago,AS,2025,11,Express,27.0,16.0,27.0,8.0,10.0,7.0,10.0,2.0,9.0,3.0,9.0,2.0
Los Angeles,AS,2025,11,Express,195.0,130.0,195.0,123.0,68.0,49.0,68.0,43.0,69.0,43.0,69.0,38.0
San Francisco,DL,2025,11,Express,8.0,5.0,8.0,6.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0
Washington DC,DL,2025,11,Express,107.0,80.0,107.0,72.0,42.0,33.0,42.0,24.0,39.0,30.0,39.0,28.0
Texas,AA,2025,11,Express,920.0,705.0,919.0,646.0,289.0,235.0,289.0,231.0,305.0,259.0,304.0,232.0
Denver,DL,2025,11,Express,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Washington DC,AS,2025,11,Express,32.0,22.0,32.0,18.0,11.0,7.0,11.0,5.0,11.0,7.0,11.0,4.0
Texas,AS,2025,11,Express,21.0,13.0,21.0,14.0,7.0,6.0,7.0,6.0,7.0,2.0,7.0,5.0
San Francisco,AA,2025,11,Express,16.0,13.0,16.0,10.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,2.0
Texas,DL,2025,11,Express,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,AS,2025,11,Express,1691.0,1145.0,1685.0,1078.0,595.0,430.0,595.0,369.0,590.0,371.0,584.0,368.0
LINE,AS,2025,11,Express,1998.0,1345.0,1988.0,1253.0,689.0,514.0,687.0,458.0,689.0,386.0,682.0,359.0
LINE,AA,2025,11,Express,4740.0,3629.0,4736.0,3324.0,1664.0,1322.0,1663.0,1223.0,1683.0,1295.0,1680.0,1225.0
,AA,2025,11,Express,3840.0,2909.0,3835.0,2754.0,1330.0,1060.0,1329.0,1011.0,1368.0,1043.0,1364.0,979.0
,DL,2025,11,Express,2113.0,1690.0,2113.0,1563.0,765.0,602.0,765.0,516.0,763.0,611.0,763.0,585.0
LINE,DL,2025,11,Express,2618.0,2069.0,2615.0,1975.0,950.0,759.0,950.0,702.0,950.0,752.0,948.0,718.0
