carrier,report_yr,report_month,ml_ex_ind,Scheduled_Flights,D00_Flights,Completed_Flights,A00_Flights,A14_Flights,Yest_Scheduled_Flights,Yest_D00_Flights,Yest_Completed_Flights,Yest_A00_Flights,Yest_A14_Flights,DateMinus2_Scheduled_Flights,DateMinus2_D00_Flights,DateMinus2_Completed_Flights,DateMinus2_A00_Flights,DateMinus2_A14_Flights
AA,2025,10,Express,89317.0,63489.0,88778.0,57785.0,70927.0,3078.0,1846.0,2881.0,1588.0,2043.0,2836.0,2029.0,2832.0,1692.0,2213.0
DL,2025,10,Express,53214.0,41277.0,52706.0,38947.0,44953.0,1716.0,1064.0,1409.0,933.0,1092.0,1699.0,1354.0,1699.0,1197.0,1422.0
