time_stamp,city,station,carrier,ml_ex_ind,sched_flt_now,cnxl_flt_now,a0_flt_now,a14_flt_now,d0_flt_now_o,d0_flt_now,sched_flt_dateminus2,cnxl_flt_dateminus2,a0_flt_dateminus2,a14_flt_dateminus2,d0_flt_dateminus2_o,d0_flt_dateminus2,sched_flt_mtd,cnxl_flt_mtd,a0_flt_mtd,a14_flt_mtd,d0_flt_mtd_o,d0_flt_mtd,in_sched_flt_now,in_sched_flt_mtd
2025-10-31 06:40:06.791486+00:00,Denver,DEN,UA,Express,0,0,0,0,0,0,194,0,171,188,175,179,5938,0,3942,4935,4374,4756,0,5937
2025-10-31 06:40:06.791486+00:00,San Francisco,SFO,UA,Express,0,0,0,0,0,0,62,0,51,55,51,53,1610,0,932,1168,1058,1169,0,1609
2025-10-31 06:40:06.791486+00:00,Washington DC,DCA,UA,Express,0,0,0,0,0,0,14,0,5,5,8,8,289,0,144,188,169,169,0,290
2025-10-31 06:40:06.791486+00:00,Washington DC,BWI,UA,Express,0,0,0,0,0,0,1,0,1,1,1,1,20,0,15,18,16,16,0,20
2025-10-31 06:40:06.791486+00:00,New York,EWR,UA,Express,0,0,0,0,0,0,107,0,71,87,81,83,3341,0,2059,2467,2467,2554,0,3339
2025-10-31 06:40:06.791486+00:00,New York,LGA,UA,Express,0,0,0,0,0,0,4,0,1,3,3,3,116,0,73,94,87,88,0,116
2025-10-31 06:40:06.791486+00:00,Chicago,ORD,UA,Express,0,0,0,0,0,0,270,0,180,230,208,218,7584,0,4402,5837,4949,5622,0,7580
2025-10-31 06:40:06.791486+00:00,Washington DC,IAD,UA,Express,0,0,0,0,0,0,118,0,82,100,80,95,3563,0,2705,3152,2749,2917,0,3561
2025-10-31 06:40:06.791486+00:00,Texas,IAH,UA,Express,0,0,0,0,0,0,208,0,145,182,166,171,5750,0,4208,4974,4350,4608,0,5750
2025-10-31 06:40:06.791486+00:00,Los Angeles,LAX,UA,Express,0,0,0,0,0,0,30,0,22,24,22,22,901,0,702,810,740,759,0,900
2025-10-31 06:40:06.791486+00:00,LINE,LINE,UA,Express,0,0,0,0,0,0,980,0,722,866,839,839,28617,0,18950,23343,22647,22653,0,28676
