timeperiod,short_dlys,long_dlys,total_dprt_dlys,fo_dlys,if_dlys,fx_dlys,fr_fy_dlys,fd_n_q_s_dlys,ix_r_s_dlys,il_im_dlys,ib_d_e_g_p_z_dlys,sked,short_dly_rate,long_dly_rate,total_dprt_dly_rate,fo_dly_rate,if_dly_rate
Yest,,,,,,,,,,,,,,,,,
MTD,451.0,610.0,1061.0,122.0,42.0,32.0,29.0,43.0,17.0,15.0,10.0,3906.0,11.546338965693804,15.61699948796723,27.163338453661034,3.123399897593445,1.075268817204301
L7D,1214.0,1845.0,3059.0,298.0,141.0,94.0,55.0,106.0,47.0,51.0,43.0,11852.0,10.242996962537967,15.566992912588592,25.80998987512656,2.514343570705366,1.189672629092136
2019,732.0,1285.0,2017.0,386.0,124.0,92.0,59.0,95.0,47.0,14.0,63.0,8215.0,8.910529519172245,15.642118076688982,24.552647595861227,4.698721850273889,1.50943396226415
