CITY,CARRIER,report_yr,report_month,ML_EX_IND,Scheduled_Flights,D00_Flights,Completed_Flights,A00_Flights,Yest_Scheduled_Flights,Yest_D00_Flights,Yest_Completed_Flights,Yest_A00_Flights,DateMinus2_Scheduled_Flights,DateMinus2_D00_Flights,DateMinus2_Completed_Flights,DateMinus2_A00_Flights
Washington DC,AA,2025,11,Express,317.0,213.0,317.0,202.0,183.0,123.0,183.0,117.0,134.0,90.0,134.0,85.0
Chicago,DL,2025,11,Express,8.0,4.0,8.0,5.0,4.0,1.0,4.0,1.0,4.0,3.0,4.0,4.0
New York,AA,2025,11,Express,215.0,158.0,214.0,130.0,125.0,103.0,124.0,89.0,90.0,55.0,90.0,41.0
OTHER,AA,2025,11,Express,3806.0,2897.0,3802.0,2715.0,2094.0,1636.0,2090.0,1569.0,1712.0,1261.0,1712.0,1146.0
New York,DL,2025,11,Express,405.0,304.0,404.0,291.0,249.0,191.0,248.0,183.0,156.0,113.0,156.0,108.0
Denver,AS,2025,11,Express,16.0,13.0,16.0,10.0,9.0,7.0,9.0,5.0,7.0,6.0,7.0,5.0
New York,AS,2025,11,Express,40.0,23.0,39.0,18.0,21.0,11.0,20.0,7.0,19.0,12.0,19.0,11.0
Chicago,AA,2025,11,Express,531.0,354.0,530.0,342.0,299.0,191.0,298.0,177.0,232.0,163.0,232.0,165.0
Denver,AA,2025,11,Express,7.0,5.0,7.0,4.0,5.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0
OTHER,DL,2025,11,Express,2481.0,1994.0,2479.0,1926.0,1389.0,1116.0,1388.0,1064.0,1092.0,878.0,1091.0,862.0
Los Angeles,AA,2025,11,Express,68.0,52.0,68.0,30.0,35.0,21.0,35.0,16.0,33.0,31.0,33.0,14.0
Los Angeles,DL,2025,11,Express,52.0,47.0,52.0,44.0,29.0,24.0,29.0,22.0,23.0,23.0,23.0,22.0
San Francisco,AS,2025,11,Express,117.0,81.0,113.0,63.0,64.0,32.0,60.0,29.0,53.0,49.0,53.0,34.0
OTHER,AS,2025,11,Express,2053.0,1317.0,2044.0,1299.0,1089.0,652.0,1081.0,630.0,964.0,665.0,963.0,669.0
Chicago,AS,2025,11,Express,17.0,9.0,17.0,6.0,9.0,3.0,9.0,2.0,8.0,6.0,8.0,4.0
Los Angeles,AS,2025,11,Express,127.0,81.0,127.0,80.0,69.0,43.0,69.0,38.0,58.0,38.0,58.0,42.0
San Francisco,DL,2025,11,Express,5.0,2.0,5.0,3.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0
Washington DC,DL,2025,11,Express,65.0,47.0,65.0,48.0,39.0,30.0,39.0,28.0,26.0,17.0,26.0,20.0
Texas,AA,2025,11,Express,631.0,470.0,630.0,415.0,305.0,259.0,304.0,232.0,326.0,211.0,326.0,183.0
Denver,DL,2025,11,Express,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Washington DC,AS,2025,11,Express,21.0,15.0,21.0,13.0,11.0,7.0,11.0,4.0,10.0,8.0,10.0,9.0
Texas,AS,2025,11,Express,14.0,7.0,14.0,8.0,7.0,2.0,7.0,5.0,7.0,5.0,7.0,3.0
San Francisco,AA,2025,11,Express,11.0,8.0,11.0,6.0,5.0,3.0,5.0,2.0,6.0,5.0,6.0,4.0
Texas,DL,2025,11,Express,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,AS,2025,11,Express,1096.0,715.0,1090.0,706.0,590.0,371.0,584.0,365.0,506.0,344.0,506.0,341.0
LINE,AS,2025,11,Express,1309.0,831.0,1301.0,791.0,689.0,386.0,682.0,355.0,620.0,445.0,619.0,436.0
LINE,AA,2025,11,Express,3076.0,2306.0,3073.0,2101.0,1683.0,1294.0,1680.0,1225.0,1393.0,1012.0,1393.0,876.0
,AA,2025,11,Express,2510.0,1851.0,2506.0,1743.0,1368.0,1045.0,1364.0,979.0,1142.0,806.0,1142.0,764.0
,DL,2025,11,Express,1348.0,1088.0,1348.0,1044.0,763.0,611.0,763.0,582.0,585.0,477.0,585.0,462.0
LINE,DL,2025,11,Express,1668.0,1310.0,1665.0,1273.0,950.0,752.0,948.0,718.0,718.0,558.0,717.0,555.0
