time_stamp,city,station,carrier,ml_ex_ind,sched_flt_now,cnxl_flt_now,a0_flt_now,a14_flt_now,d0_flt_now_o,d0_flt_now,sched_flt_mtd,cnxl_flt_mtd,a0_flt_mtd,a14_flt_mtd,d0_flt_mtd_o,d0_flt_mtd,sched_flt_ytd,comp_flt_ytd,a0_flt_ytd,a14_flt_ytd,d0_flt_ytd_o,d0_flt_ytd,in_sched_flt_now,in_sched_flt_mtd,in_sched_flt_ytd
2025-11-03 11:53:49.313638+00:00,Line Dom,DAY,UA,Express,7,0,3,4,4,4,13,0,9,10,10,10,2379,2344,1500,1806,1788,1788,7,13,2377
2025-11-03 11:53:49.313638+00:00,Line Dom,EUG,UA,Express,0,0,0,0,0,0,0,0,0,0,0,0,385,380,289,339,254,254,0,0,384
2025-11-03 11:53:49.313638+00:00,Line Dom,BWI,UA,Express,0,0,0,0,0,0,0,0,0,0,0,0,235,234,157,189,170,170,0,0,235
2025-11-03 11:53:49.313638+00:00,Line Dom,MEM,UA,Express,10,1,4,7,5,5,18,1,10,14,10,10,2169,2125,1407,1672,1433,1433,10,18,2171
2025-11-03 11:53:49.313638+00:00,Line Int,AGU,UA,Express,2,0,2,2,2,2,4,0,4,4,4,4,612,607,403,484,516,516,2,4,612
2025-11-03 11:53:49.313638+00:00,Line Dom,AMA,UA,Express,5,0,6,6,5,5,9,0,8,10,8,8,1457,1431,922,1080,1042,1042,6,10,1459
2025-11-03 11:53:49.313638+00:00,Line Dom,SAV,UA,Express,6,0,4,4,6,6,12,0,9,10,11,11,2282,2234,1526,1778,1772,1772,6,12,2281
2025-11-03 11:53:49.313638+00:00,Line Dom,MCW,UA,Express,2,0,1,1,2,2,3,0,1,2,3,3,525,511,326,388,382,382,2,3,525
2025-11-03 11:53:49.313638+00:00,Line Dom,LCH,UA,Express,3,0,1,1,2,2,5,0,2,3,3,3,757,740,523,598,576,576,3,5,757
2025-11-03 11:53:49.313638+00:00,Line Dom,HOB,UA,Express,2,0,1,1,2,2,4,0,2,3,4,4,612,600,313,371,418,418,2,4,612
2025-11-03 11:53:49.313638+00:00,Line Dom,RKS,UA,Express,2,0,2,2,2,2,4,0,4,4,4,4,612,608,357,437,450,450,2,4,612
2025-11-03 11:53:49.313638+00:00,Line Dom,MEI,UA,Express,2,0,2,2,2,2,3,0,2,2,3,3,525,516,328,384,402,402,2,3,525
2025-11-03 11:53:49.313638+00:00,Line Dom,LAF,UA,Express,2,0,1,1,1,1,3,0,1,1,2,2,141,141,73,95,104,104,2,3,142
2025-11-03 11:53:49.313638+00:00,Line Dom,RDD,UA,Express,5,0,2,3,3,3,10,0,5,8,8,8,1198,1192,791,992,941,941,5,10,1198
2025-11-03 11:53:49.313638+00:00,Line Dom,SAN,UA,Express,2,0,1,2,1,1,4,0,1,3,2,2,977,977,735,868,834,837,3,4,977
2025-11-03 11:53:49.313638+00:00,Line Int,ZLO,UA,Express,0,0,0,0,0,0,1,0,0,0,0,0,27,27,21,23,25,25,0,1,27
2025-11-03 11:53:49.313638+00:00,Line Dom,SHV,UA,Express,6,0,3,4,4,4,11,0,6,8,8,8,1727,1695,1103,1282,1217,1217,6,11,1727
2025-11-03 11:53:49.313638+00:00,Line Dom,SBA,UA,Express,4,0,4,4,3,3,9,0,6,7,6,6,1155,1146,833,987,940,940,4,9,1155
2025-11-03 11:53:49.313638+00:00,Line Dom,MSN,UA,Express,6,0,3,6,5,5,11,0,5,9,9,9,1937,1921,1262,1498,1418,1418,6,11,1932
2025-11-03 11:53:49.313638+00:00,Line Dom,IND,UA,Express,17,1,10,13,13,13,31,1,20,26,26,26,5122,5009,3462,4119,4006,4006,17,31,5119
2025-11-03 11:53:49.313638+00:00,Line Dom,PVD,UA,Express,5,0,3,4,5,5,9,0,4,6,8,8,1487,1462,876,1125,1105,1105,5,9,1486
2025-11-03 11:53:49.313638+00:00,Line Dom,GRB,UA,Express,6,0,2,4,5,5,12,0,6,9,11,11,1684,1672,974,1215,1201,1201,6,12,1684
2025-11-03 11:53:49.313638+00:00,Line Dom,ECP,UA,Express,4,0,2,3,3,3,8,0,5,7,5,5,1367,1341,871,1039,974,974,4,8,1367
2025-11-03 11:53:49.313638+00:00,Line Dom,CMH,UA,Express,15,2,7,9,6,6,27,2,19,21,16,16,4037,3947,2615,3162,2856,2858,15,27,4046
2025-11-03 11:53:49.313638+00:00,Line Dom,ABQ,UA,Express,7,0,6,7,6,6,14,0,11,14,12,12,2204,2184,1389,1739,1612,1612,7,14,2206
2025-11-03 11:53:49.313638+00:00,Line Dom,SLC,UA,Express,10,0,7,7,6,6,19,0,12,15,14,14,2910,2902,1941,2333,2202,2203,10,18,2907
2025-11-03 11:53:49.313638+00:00,Line Dom,DTW,UA,Express,12,2,4,6,6,6,24,2,11,17,15,15,3700,3609,2433,2903,2753,2753,12,25,3701
2025-11-03 11:53:49.313638+00:00,Line Dom,MSY,UA,Express,0,0,0,0,0,0,1,0,1,1,1,1,311,308,204,249,248,248,0,1,311
2025-11-03 11:53:49.313638+00:00,Line Dom,MRY,UA,Express,7,0,5,6,5,5,14,0,9,11,10,10,1920,1915,1309,1600,1629,1629,7,14,1920
2025-11-03 11:53:49.313638+00:00,Line Dom,RAP,UA,Express,7,0,6,7,6,6,12,0,9,11,11,11,2122,2082,1237,1539,1449,1449,7,12,2120
2025-11-03 11:53:49.313638+00:00,Line Dom,ABE,UA,Express,3,0,1,2,2,2,6,0,4,5,5,5,688,683,450,525,489,489,3,6,688
2025-11-03 11:53:49.313638+00:00,Line Dom,DVL,UA,Express,2,0,2,2,2,2,3,0,3,3,3,3,550,544,393,457,372,372,2,3,551
2025-11-03 11:53:49.313638+00:00,Line Dom,RDU,UA,Express,1,0,1,1,1,1,5,0,4,5,4,4,1317,1277,889,1046,972,973,1,5,1317
2025-11-03 11:53:49.313638+00:00,Line Dom,XNA,UA,Express,11,0,6,6,7,7,21,0,15,16,16,16,2767,2735,1846,2176,2090,2091,11,21,2768
2025-11-03 11:53:49.313638+00:00,Line Dom,DDC,UA,Express,2,0,2,2,2,2,3,0,3,3,3,3,525,509,325,394,361,361,2,3,525
2025-11-03 11:53:49.313638+00:00,Line Dom,DSM,UA,Express,4,0,4,4,2,2,9,0,8,8,6,6,1611,1589,1148,1343,1314,1314,4,9,1610
2025-11-03 11:53:49.313638+00:00,Line Dom,BFL,UA,Express,4,0,3,4,4,4,8,0,6,8,8,8,1199,1199,660,916,967,969,4,8,1199
2025-11-03 11:53:49.313638+00:00,Line Dom,DLH,UA,Express,3,0,3,3,3,3,6,0,6,6,5,5,953,941,519,657,632,632,3,6,953
2025-11-03 11:53:49.313638+00:00,Line Int,NAS,UA,Express,0,0,0,0,0,0,1,0,1,1,1,1,21,21,11,16,18,18,0,1,21
2025-11-03 11:53:49.313638+00:00,Line Dom,BUF,UA,Express,9,1,3,4,4,4,18,1,12,13,11,11,2126,2067,1288,1586,1411,1411,9,18,2128
2025-11-03 11:53:49.313638+00:00,Line Dom,SBP,UA,Express,6,0,2,3,2,2,12,0,5,6,3,3,1851,1843,1218,1489,1349,1350,6,12,1852
2025-11-03 11:53:49.313638+00:00,Line Dom,CIU,UA,Express,0,0,0,0,0,0,0,0,0,0,0,0,137,135,80,97,84,84,0,0,137
2025-11-03 11:53:49.313638+00:00,Line Dom,ONT,UA,Express,0,0,0,0,0,0,0,0,0,0,0,0,317,310,220,266,244,244,0,0,316
2025-11-03 11:53:49.313638+00:00,Line Dom,BGR,UA,Express,2,0,1,1,0,0,3,0,2,2,1,1,875,850,522,642,637,637,2,3,872
2025-11-03 11:53:49.313638+00:00,Line Dom,GSP,UA,Express,9,1,1,6,6,6,16,1,7,13,12,12,2839,2787,1699,2103,2101,2101,9,16,2846
2025-11-03 11:53:49.313638+00:00,Line Dom,EAR,UA,Express,2,0,2,2,2,2,4,0,4,4,3,3,525,520,334,400,401,401,2,4,525
2025-11-03 11:53:49.313638+00:00,Line Dom,ITH,UA,Express,2,0,2,2,2,2,4,0,4,4,4,4,631,613,343,424,478,478,2,4,631
2025-11-03 11:53:49.313638+00:00,Line Dom,OMA,UA,Express,5,0,3,3,3,3,8,0,7,7,5,5,1023,1012,675,825,793,794,5,9,1024
2025-11-03 11:53:49.313638+00:00,Line Dom,CHS,UA,Express,3,0,0,1,1,1,6,0,0,2,2,2,1754,1689,1140,1375,1276,1276,3,6,1752
2025-11-03 11:53:49.313638+00:00,Line Int,PXM,UA,Express,0,0,0,0,0,0,1,0,0,1,0,0,33,33,18,27,15,15,0,1,33
2025-11-03 11:53:49.313638+00:00,Line Dom,CYS,UA,Express,2,0,2,2,2,2,4,0,4,4,4,4,618,610,348,429,458,458,2,4,618
2025-11-03 11:53:49.313638+00:00,Line Dom,CAK,UA,Express,4,0,1,3,3,3,8,0,4,7,6,6,1112,1097,630,806,822,822,4,8,1113
2025-11-03 11:53:49.313638+00:00,Line Dom,PIB,UA,Express,2,0,2,2,2,2,3,0,3,3,3,3,525,513,342,376,382,382,2,3,525
2025-11-03 11:53:49.313638+00:00,Line Dom,RHI,UA,Express,0,0,0,0,0,0,0,0,0,0,0,0,201,194,107,140,132,132,0,0,201
2025-11-03 11:53:49.313638+00:00,Line Int,YYZ,UA,Express,13,1,6,10,9,9,23,1,10,15,15,15,4124,3988,2664,3222,3179,3179,13,23,4121
2025-11-03 11:53:49.313638+00:00,Line Dom,HHH,UA,Express,0,0,0,0,0,0,0,0,0,0,0,0,234,223,158,188,149,149,0,0,234
2025-11-03 11:53:49.313638+00:00,Line Dom,CID,UA,Express,6,0,4,4,5,5,10,0,8,9,9,9,1198,1182,729,897,778,778,5,10,1198
2025-11-03 11:53:49.313638+00:00,Line Dom,CLE,UA,Express,7,0,4,5,6,6,14,0,7,10,12,12,1727,1674,1177,1419,1239,1240,7,14,1732
2025-11-03 11:53:49.313638+00:00,Line Int,ZIH,UA,Express,1,0,1,1,1,1,2,0,1,1,2,2,121,119,63,87,92,92,1,2,121
2025-11-03 11:53:49.313638+00:00,Line Dom,JLN,UA,Express,2,0,2,2,1,1,4,0,3,3,3,3,611,593,360,435,418,418,2,4,611
2025-11-03 11:53:49.313638+00:00,Line Dom,BRO,UA,Express,4,0,3,4,4,4,7,0,4,6,6,6,1341,1305,974,1093,1120,1120,4,7,1341
2025-11-03 11:53:49.313638+00:00,Line Dom,JAX,UA,Express,2,0,2,2,2,2,5,0,5,5,4,4,1387,1359,927,1091,1012,1013,2,5,1387
2025-11-03 11:53:49.313638+00:00,Line Dom,RIW,UA,Express,2,0,2,2,1,1,4,0,4,4,3,3,612,607,393,478,479,479,2,4,612
2025-11-03 11:53:49.313638+00:00,Line Dom,PIA,UA,Express,6,0,2,3,2,2,12,0,5,6,7,7,1483,1468,757,1028,940,940,6,12,1484
2025-11-03 11:53:49.313638+00:00,Line Dom,PSC,UA,Express,3,0,2,3,3,3,6,0,5,6,6,6,983,983,586,810,842,842,3,6,982
2025-11-03 11:53:49.313638+00:00,Line Dom,ICT,UA,Express,9,0,5,6,8,8,18,0,12,14,16,16,2879,2829,1928,2290,2199,2199,9,18,2879
2025-11-03 11:53:49.313638+00:00,Line Dom,ROC,UA,Express,9,1,3,7,7,7,16,1,9,13,12,12,2329,2271,1448,1811,1687,1687,9,16,2324
2025-11-03 11:53:49.313638+00:00,Line Dom,BNA,UA,Express,11,2,4,5,4,4,19,2,10,12,10,10,1966,1933,1175,1470,1348,1349,11,19,1965
2025-11-03 11:53:49.313638+00:00,Line Dom,WYS,UA,Express,0,0,0,0,0,0,0,0,0,0,0,0,188,186,123,146,117,117,0,0,188
2025-11-03 11:53:49.313638+00:00,Line Dom,LNK,UA,Express,10,0,4,8,6,6,19,0,10,15,13,13,2524,2495,1437,1793,1729,1729,10,19,2525
2025-11-03 11:53:49.313638+00:00,Line Dom,STL,UA,Express,13,1,6,9,10,10,26,1,15,21,19,19,3946,3872,2558,2992,2773,2774,13,26,3949
2025-11-03 11:53:49.313638+00:00,Line Dom,TVC,UA,Express,5,0,4,4,4,4,10,0,7,8,7,7,1253,1232,781,947,819,819,6,10,1253
2025-11-03 11:53:49.313638+00:00,Line Dom,PDX,UA,Express,0,0,0,0,0,0,0,0,0,0,0,0,374,373,261,317,294,294,0,0,374
2025-11-03 11:53:49.313638+00:00,Line Dom,CPR,UA,Express,7,0,6,7,7,7,14,0,13,14,13,13,1988,1971,1141,1434,1343,1343,7,14,1989
2025-11-03 11:53:49.313638+00:00,Line Dom,BFF,UA,Express,2,0,2,2,2,2,4,0,4,4,4,4,525,511,309,395,357,357,2,4,525
2025-11-03 11:53:49.313638+00:00,Line Int,MLM,UA,Express,1,0,1,1,1,1,2,0,2,2,2,2,311,307,160,220,265,265,1,2,311
2025-11-03 11:53:49.313638+00:00,Line Dom,PIT,UA,Express,14,2,8,10,9,9,25,2,16,19,19,19,3954,3865,2645,3135,3176,3179,14,25,3947
2025-11-03 11:53:49.313638+00:00,Line Dom,OTH,UA,Express,1,0,0,0,0,0,2,0,0,0,0,0,425,423,235,333,271,271,1,2,425
2025-11-03 11:53:49.313638+00:00,Line Dom,BTM,UA,Express,1,0,1,1,1,1,2,0,2,2,2,2,303,301,172,201,230,230,1,2,304
2025-11-03 11:53:49.313638+00:00,Line Dom,SJC,UA,Express,0,0,0,0,0,0,0,0,0,0,0,0,53,53,44,50,48,48,0,0,53
2025-11-03 11:53:49.313638+00:00,Line Dom,SGF,UA,Express,11,0,6,8,7,7,20,0,13,16,12,12,3048,3007,1860,2246,1992,1992,11,20,3049
2025-11-03 11:53:49.313638+00:00,Line Int,YOW,UA,Express,9,2,5,6,6,6,18,2,12,13,14,14,2658,2590,1633,2009,1664,1664,9,18,2658
2025-11-03 11:53:49.313638+00:00,Line Int,HAV,UA,Express,0,0,0,0,0,0,0,0,0,0,0,0,53,52,37,39,34,34,0,0,53
2025-11-03 11:53:49.313638+00:00,Line Dom,GTF,UA,Express,1,0,1,1,0,0,1,0,2,2,0,0,295,295,185,234,240,240,1,2,296
2025-11-03 11:53:49.313638+00:00,Line Dom,CVG,UA,Express,13,2,5,10,10,10,23,2,12,19,20,20,3358,3274,2139,2608,2526,2526,13,23,3361
2025-11-03 11:53:49.313638+00:00,Line Dom,CAE,UA,Express,6,0,3,4,5,5,11,0,4,6,8,8,1459,1443,807,1034,970,970,6,11,1458
2025-11-03 11:53:49.313638+00:00,Line Dom,VCT,UA,Express,2,0,2,2,2,2,3,0,3,3,3,3,488,466,326,362,347,347,2,3,488
2025-11-03 11:53:49.313638+00:00,Line Dom,COU,UA,Express,3,0,2,3,2,2,6,0,5,6,5,5,115,115,84,99,86,86,3,6,117
2025-11-03 11:53:49.313638+00:00,Line Dom,BTV,UA,Express,6,1,4,4,3,3,11,1,7,9,7,7,1931,1874,1248,1505,1352,1352,6,11,1935
2025-11-03 11:53:49.313638+00:00,Line Dom,AVP,UA,Express,5,0,2,3,4,4,9,0,5,6,8,8,1326,1313,795,988,1007,1007,5,9,1326
2025-11-03 11:53:49.313638+00:00,Line Dom,JAC,UA,Express,2,0,1,2,2,2,4,0,3,4,4,4,547,545,391,464,400,400,2,4,548
2025-11-03 11:53:49.313638+00:00,Line Int,YUL,UA,Express,6,1,2,3,3,3,12,1,7,9,6,6,2015,1968,1280,1580,1596,1596,6,12,2016
2025-11-03 11:53:49.313638+00:00,Line Dom,TYS,UA,Express,14,0,8,10,11,11,28,0,12,21,23,23,3620,3561,2277,2771,2848,2848,14,28,3621
2025-11-03 11:53:49.313638+00:00,Line Dom,BTR,UA,Express,7,0,2,7,6,6,13,0,3,10,9,9,1758,1720,1170,1373,1362,1362,7,13,1759
2025-11-03 11:53:49.313638+00:00,Line Dom,LRD,UA,Express,4,0,3,3,3,3,7,0,5,5,5,5,1064,1046,781,862,894,894,4,7,1065
2025-11-03 11:53:49.313638+00:00,Line Dom,BIH,UA,Express,0,0,0,0,0,0,0,0,0,0,0,0,258,257,152,196,180,180,0,0,258
2025-11-03 11:53:49.313638+00:00,Line Dom,MFE,UA,Express,5,0,5,5,4,4,10,0,6,9,7,7,1629,1600,1144,1323,1315,1315,5,10,1629
2025-11-03 11:53:49.313638+00:00,Line Dom,COS,UA,Express,14,0,10,12,12,12,25,0,19,21,21,21,3825,3782,2199,2718,2694,2694,14,25,3825
2025-11-03 11:53:49.313638+00:00,Line Dom,TUS,UA,Express,10,0,6,8,8,8,20,0,14,17,18,18,1969,1959,1355,1634,1504,1504,10,20,1972
2025-11-03 11:53:49.313638+00:00,Line Dom,PRC,UA,Express,3,0,3,3,3,3,6,0,5,6,6,6,620,613,382,448,425,425,3,6,620
2025-11-03 11:53:49.313638+00:00,Line Dom,MLI,UA,Express,6,0,3,6,5,5,12,0,6,11,11,11,1594,1577,927,1150,1116,1116,6,12,1594
2025-11-03 11:53:49.313638+00:00,Line Dom,LBF,UA,Express,2,0,1,1,1,1,4,0,2,3,3,3,525,512,300,395,385,385,2,4,525
2025-11-03 11:53:49.313638+00:00,Line Dom,MFR,UA,Express,3,0,2,3,2,2,5,0,3,5,4,4,495,492,326,412,348,348,3,5,494
2025-11-03 11:53:49.313638+00:00,Line Dom,ATL,UA,Express,2,0,2,2,2,2,5,0,3,3,4,4,760,742,503,573,543,543,3,5,761
2025-11-03 11:53:49.313638+00:00,Line Dom,CRP,UA,Express,7,0,5,6,5,5,13,0,8,10,8,8,2077,2038,1385,1636,1576,1576,7,13,2078
2025-11-03 11:53:49.313638+00:00,Line Dom,DCA,UA,Express,13,4,4,7,6,6,21,4,7,12,9,9,2938,2741,1547,1896,1758,1760,13,21,2939
2025-11-03 11:53:49.313638+00:00,Line Dom,MBS,UA,Express,3,0,1,1,2,2,6,0,3,4,5,5,911,898,529,647,584,584,3,6,911
2025-11-03 11:53:49.313638+00:00,Line Int,BJX,UA,Express,3,0,3,3,2,2,5,0,4,4,3,3,445,441,239,337,394,394,3,5,446
2025-11-03 11:53:49.313638+00:00,Line Dom,CRW,UA,Express,2,0,0,1,1,1,4,0,1,3,2,2,847,834,459,595,530,530,2,4,846
2025-11-03 11:53:49.313638+00:00,Line Dom,BUR,UA,Express,2,0,1,1,1,1,4,0,3,3,3,3,795,785,581,696,624,624,2,4,795
2025-11-03 11:53:49.313638+00:00,Line Dom,HSV,UA,Express,13,0,6,8,11,11,25,0,12,16,20,20,3389,3348,2036,2518,2484,2484,13,25,3390
2025-11-03 11:53:49.313638+00:00,Line Int,YQB,UA,Express,4,1,1,2,3,3,8,1,5,6,7,7,960,926,631,744,700,700,4,8,960
2025-11-03 11:53:49.313638+00:00,Line Dom,GUC,UA,Express,2,0,1,1,1,1,4,0,2,3,3,3,962,957,629,765,684,684,2,4,962
2025-11-03 11:53:49.313638+00:00,Line Int,MTY,UA,Express,6,0,2,4,6,6,12,0,5,8,12,12,1687,1677,1007,1306,1435,1435,6,12,1687
