carrier,report_yr,report_month,ml_ex_ind,Scheduled_Flights,D00_Flights,Completed_Flights,A00_Flights,A14_Flights,Yest_Scheduled_Flights,Yest_D00_Flights,Yest_Completed_Flights,Yest_A00_Flights,Yest_A14_Flights,DateMinus2_Scheduled_Flights,DateMinus2_D00_Flights,DateMinus2_Completed_Flights,DateMinus2_A00_Flights,DateMinus2_A14_Flights
AA,2025,11,Express,5586.0,4157.0,5579.0,3844.0,4661.0,3051.0,2339.0,3044.0,2204.0,2627.0,2535.0,1818.0,2535.0,1640.0,2034.0
DL,2025,11,Express,3016.0,2398.0,3013.0,2317.0,2632.0,1713.0,1363.0,1711.0,1300.0,1497.0,1303.0,1035.0,1302.0,1017.0,1135.0
