express partner,flight num,dep stn,arrv stn,date,nose,sch dep time (local),est dep time (local),sch arrv time (local),est arrv time (local)
G7-GoJet,4191,EWR ,RIC ,2025-11-03,0541,2025-11-03 20:44:00,2025-11-04 17:26:00,2025-11-03 22:30:00,2025-11-04 19:12:00
G7-GoJet,4191,EWR ,RIC ,2025-11-03,0541,2025-11-03 20:44:00,2025-11-04 17:26:00,2025-11-03 22:30:00,2025-11-04 19:12:00
G7-GoJet,4420,TYS ,ORD ,2025-11-03,0561,2025-11-03 17:52:00,2025-11-04 16:00:00,2025-11-03 18:53:00,2025-11-04 18:01:00
OO-Skywest,5724,SFO ,RDD ,2025-11-03,0623,2025-11-03 22:35:00,2025-11-04 07:05:00,2025-11-03 23:43:00,2025-11-04 08:13:00
