company_id,date,cnxl_cd,cancel division,ex_company_id,count
YX,2025-11-02,C,WEATHER/ATC,  ,46
G7,2025-11-02,C,WEATHER/ATC,  ,27
G7,2025-11-02,C,TECHNICAL OPERATIONS-AIRCRAFT,  ,1
