carrier,report_yr,report_month,ml_ex_ind,Scheduled_Flights,D00_Flights,Completed_Flights,A00_Flights,A14_Flights,Yest_Scheduled_Flights,Yest_D00_Flights,Yest_Completed_Flights,Yest_A00_Flights,Yest_A14_Flights,DateMinus2_Scheduled_Flights,DateMinus2_D00_Flights,DateMinus2_Completed_Flights,DateMinus2_A00_Flights,DateMinus2_A14_Flights
AA,2025,11,Express,8580.0,6538.0,8571.0,6078.0,7247.0,2994.0,2382.0,2992.0,2234.0,2586.0,3051.0,2338.0,3044.0,2204.0,2627.0
DL,2025,11,Express,4731.0,3759.0,4728.0,3538.0,4080.0,1715.0,1361.0,1715.0,1218.0,1445.0,1713.0,1363.0,1711.0,1303.0,1500.0
