express partner,flight num,dep stn,arrv stn,date,nose,sch dep time (local),sch arrv time (local),act dep time (local),act arrv time (local)
G7-GoJet,3375,PIT,RIC,2025-11-02,0526,2025-11-02 19:20:00,2025-11-02 20:55:00,2025-11-03 00:23:00,2025-11-03 01:31:00
G7-GoJet,3376,PIT,CVG,2025-11-02,0562,2025-11-02 21:10:00,2025-11-02 22:40:00,2025-11-02 22:32:00,2025-11-02 23:43:00
G7-GoJet,3377,GSO,BGR,2025-11-02,0546,2025-11-02 15:00:00,2025-11-02 16:50:00,2025-11-02 19:31:00,2025-11-02 21:23:00
G7-GoJet,3378,BTV,RIC,2025-11-02,0551,2025-11-02 16:00:00,2025-11-02 17:50:00,2025-11-02 20:58:00,2025-11-02 22:48:00
G7-GoJet,3379,CVG,GSP,2025-11-02,0554,2025-11-02 19:50:00,2025-11-02 21:45:00,2025-11-03 01:15:00,2025-11-03 02:25:00
G7-GoJet,3380,CVG,GSO,2025-11-02,0566,2025-11-02 17:20:00,2025-11-02 18:50:00,2025-11-02 21:23:00,2025-11-02 22:31:00
G7-GoJet,3381,GSP,RIC,2025-11-02,0541,2025-11-02 13:45:00,2025-11-02 15:20:00,2025-11-02 19:40:00,2025-11-02 21:17:00
G7-GoJet,3382,DCA,STL,2025-11-02,0511,2025-11-02 19:00:00,2025-11-02 21:00:00,2025-11-03 00:12:00,2025-11-03 02:38:00
OO-Skywest,5191,JAX,ORD,2025-11-02,0785,2025-11-02 09:30:00,2025-11-02 11:00:00,2025-11-02 21:24:00,2025-11-03 00:17:00
OO-Skywest,5200,ORD,BNA,2025-11-02,0208,2025-11-02 06:45:00,2025-11-02 08:20:00,2025-11-02 15:08:00,2025-11-02 16:48:00
OO-Skywest,5208,MKE,ORD,2025-11-02,0463,2025-11-02 07:00:00,2025-11-02 08:11:00,2025-11-02 15:10:00,2025-11-02 17:59:00
OO-Skywest,6941,DEN,COS,2025-11-02,0873,2025-11-02 12:00:00,2025-11-02 12:50:00,2025-11-02 18:52:00,2025-11-02 19:41:00
OO-Skywest,6942,COS,DEN,2025-11-02,0978,2025-11-02 16:00:00,2025-11-02 16:45:00,2025-11-02 22:44:00,2025-11-02 23:32:00
OO-Skywest,6943,DEN,COS,2025-11-02,0218,2025-11-02 09:15:00,2025-11-02 10:00:00,2025-11-02 16:12:00,2025-11-02 16:58:00
OO-Skywest,6945,DEN,PVU,2025-11-02,1909,2025-11-02 11:00:00,2025-11-02 12:40:00,2025-11-02 15:23:00,2025-11-02 17:03:00
OO-Skywest,6947,DAL,DEN,2025-11-02,0856,2025-11-02 19:00:00,2025-11-02 20:00:00,2025-11-03 03:30:00,2025-11-03 05:30:00
OO-Skywest,6950,GNV,ORD,2025-11-02,0767,2025-11-02 07:00:00,2025-11-02 08:50:00,2025-11-02 20:54:00,2025-11-03 00:03:00
OO-Skywest,6951,ORD,GNV,2025-11-02,0773,2025-11-02 09:10:00,2025-11-02 12:50:00,2025-11-02 17:44:00,2025-11-02 20:28:00
OO-Skywest,6960,DEN,LAX,2025-11-02,0110,2025-11-02 07:30:00,2025-11-02 08:30:00,2025-11-02 14:18:00,2025-11-02 17:07:00
OO-Skywest,6961,LAX,DEN,2025-11-02,0105,2025-11-02 12:30:00,2025-11-02 15:30:00,2025-11-02 22:29:00,2025-11-03 00:55:00
YV-Mesa,3234,GNV,IAH,2025-11-02,1355,2025-11-02 18:00:00,2025-11-02 19:45:00,2025-11-02 22:46:00,2025-11-03 01:47:00
YV-Mesa,3235,IAH,SDF,2025-11-02,1356,2025-11-02 09:00:00,2025-11-02 12:17:00,2025-11-02 15:07:00,2025-11-02 18:02:00
YX-Republic,3300,SRQ,ILM,2025-11-02,0763,2025-11-02 17:50:00,2025-11-02 19:50:00,2025-11-02 22:47:00,2025-11-03 00:34:00
YX-Republic,3301,IND,PIT,2025-11-02,0767,2025-11-02 15:10:00,2025-11-02 16:20:00,2025-11-02 20:10:00,2025-11-02 21:23:00
YX-Republic,3302,PWM,CMH,2025-11-02,0751,2025-11-02 15:00:00,2025-11-02 17:00:00,2025-11-02 19:14:00,2025-11-02 21:13:00
YX-Republic,3303,DTW,SDF,2025-11-02,0741,2025-11-02 18:45:00,2025-11-02 20:00:00,2025-11-03 01:03:00,2025-11-03 02:09:00
YX-Republic,3304,MKE,PIT,2025-11-02,0747,2025-11-02 17:40:00,2025-11-02 20:10:00,2025-11-02 23:19:00,2025-11-03 00:39:00
YX-Republic,3305,MCI,STL,2025-11-02,0743,2025-11-02 16:45:00,2025-11-02 17:55:00,2025-11-02 22:40:00,2025-11-02 23:46:00
YX-Republic,3306,SDF,IND,2025-11-02,0779,2025-11-02 13:00:00,2025-11-02 14:00:00,2025-11-02 18:27:00,2025-11-02 19:26:00
YX-Republic,3307,RIC,ROC,2025-11-02,0769,2025-11-02 18:20:00,2025-11-02 20:00:00,2025-11-02 23:22:00,2025-11-03 00:46:00
YX-Republic,3308,CMH,DTW,2025-11-02,0772,2025-11-02 18:30:00,2025-11-02 19:30:00,2025-11-02 23:32:00,2025-11-03 00:50:00
YX-Republic,3309,DTW,MCI,2025-11-02,0722,2025-11-02 14:00:00,2025-11-02 15:00:00,2025-11-02 19:42:00,2025-11-02 21:31:00
YX-Republic,3310,ROC,PIT,2025-11-02,0780,2025-11-02 15:00:00,2025-11-02 16:10:00,2025-11-02 19:06:00,2025-11-02 20:01:00
YX-Republic,3311,BNA,IND,2025-11-02,0748,2025-11-02 16:05:00,2025-11-02 18:20:00,2025-11-02 22:17:00,2025-11-02 23:35:00
YX-Republic,3312,ILM,IND,2025-11-02,0760,2025-11-02 16:25:00,2025-11-02 18:40:00,2025-11-02 21:13:00,2025-11-02 23:03:00
